Number of Series,author,rank,rating,score,series,title,vote,number of ratings
,Margaret Atwood,1, 4.09, 30733,,The Handmaid's Tale,314 people voted, 1104476
1,Suzanne Collins,2, 4.33, 28553,The Hunger Games,The Hunger Games ,292 people voted, 5742831
,Mary Wollstonecraft Shelley,3, 3.78, 21909,,Frankenstein,224 people voted, 1023936
1,Madeleine L'Engle,4, 4.01, 18720,Time Quintet,A Wrinkle in Time ,196 people voted, 904478
,Ursula K. Le Guin,5, 4.06, 17920,Hainish Cycle #4),The Left Hand of Darkness ,184 people voted, 98884
1,Veronica Roth,6, 4.21, 13326,Divergent,Divergent ,138 people voted, 2603999
2,Suzanne Collins,7, 4.29, 12749,The Hunger Games,Catching Fire ,133 people voted, 2201475
1,Lois Lowry,8, 4.12, 12399,The Giver,The Giver ,129 people voted, 1535886
,Octavia E. Butler,9, 4.23, 11070,,Kindred,116 people voted, 72427
,Ursula K. Le Guin,10, 4.21, 10731,Hainish Cycle #6),The Dispossessed ,112 people voted, 71702
1,Margaret Atwood,11, 4.01, 10117,MaddAddam,Oryx and Crake ,107 people voted, 197919
3,Suzanne Collins,12, 4.03, 9807,The Hunger Games,Mockingjay ,104 people voted, 2072667
,Audrey Niffenegger,13, 3.96, 9193,,The Time Traveler's Wife,98 people voted, 1447155
1,Connie Willis,14, 4.03, 8935,Oxford Time Travel,Doomsday Book ,96 people voted, 43267
,Ursula K. Le Guin,15, 4.11, 7775,,The Lathe of Heaven,84 people voted, 44020
,Ann Leckie,16, 3.98, 7336,Imperial Radch #1),Ancillary Justice ,81 people voted, 66287
1,Lois McMaster Bujold,17, 4.11, 7017,Vorkosigan Saga,Shards of Honour  ,75 people voted, 25895
2,Connie Willis,18, 4.13, 6890,Oxford Time Travel,To Say Nothing of the Dog ,74 people voted, 29657
1,Mary Doria Russell,19, 4.17, 6873,The Sparrow,The Sparrow ,72 people voted, 52801
1,Anne McCaffrey,20, 4.10, 6802,Dragonriders of Pern,Dragonflight ,74 people voted, 116183
1,Octavia E. Butler,21, 4.16, 6653,Earthseed,Parable of the Sower ,71 people voted, 42314
2,Lois McMaster Bujold,22, 4.29, 6087,Vorkosigan Saga,The Warrior's Apprentice ,65 people voted, 20964
7,Lois McMaster Bujold,23, 4.31, 5623,Vorkosigan Saga,Barrayar ,60 people voted, 22118
1,Stephenie Meyer,24, 3.84, 5274,The Host,The Host ,56 people voted, 829184
2,Veronica Roth,25, 4.05, 4899,Divergent,Insurgent ,54 people voted, 1046130
0,Lois McMaster Bujold,26, 4.45, 4682,Vorkosigan Saga,Memory ,51 people voted, 13956
,P.D. James,27, 3.68, 4484,,The Children of Men,49 people voted, 36116
1,G.S. Jennsen,28, 3.91, 4394,Aurora Rhapsody,Starshine: Aurora Rising Book One ,45 people voted, 2149
2,Margaret Atwood,29, 4.06, 4343,MaddAddam,The Year of the Flood  ,47 people voted, 92270
1,Anne McCaffrey,30, 4.09, 4235,Crystal Singer,Crystal Singer ,47 people voted, 17778
8,Lois McMaster Bujold,31, 4.33, 4120,Vorkosigan Saga,Mirror Dance ,47 people voted, 17339
3,Octavia E. Butler,32, 4.33, 4108,Xenogenesis,Lilith's Brood ,47 people voted, 12577
6,Lois McMaster Bujold,33, 4.28, 3895,Vorkosigan Saga,The Vor Game ,46 people voted, 18980
1,Octavia E. Butler,34, 4.21, 3842,Patternmaster,Wild Seed ,43 people voted, 14443
2,Madeleine L'Engle,35, 4.04, 3700,Time Quintet,A Wind in the Door ,42 people voted, 106056
2,Lois McMaster Bujold,36, 4.43, 3683,Vorkosigan Saga,A Civil Campaign ,43 people voted, 14503
5,Lois McMaster Bujold,37, 4.21, 3653,Vorkosigan Saga,Brothers in Arms ,43 people voted, 13280
9,Lois McMaster Bujold,38, 4.17, 3618,Vorkosigan Saga,Cetaganda ,43 people voted, 14835
1,Joan D. Vinge,39, 3.95, 3535,The Snow Queen Cycle,The Snow Queen ,43 people voted, 11144
1,Marissa Meyer,40, 4.15, 3440,The Lunar Chronicles,Cinder ,38 people voted, 583172
1,C.J. Cherryh,41, 3.91, 3381,The Company Wars,Downbelow Station ,40 people voted, 12113
1,Anne McCaffrey,42, 4.01, 3361,Brainship,The Ship Who Sang ,39 people voted, 21164
1,Deborah O'Neill Cordes,43, 3.81, 3340,Dinosaurian Time Travel,Dragon Dawn ,34 people voted, 194
1,Anne McCaffrey,44, 4.25, 3092,Harper Hall,Dragonsong ,36 people voted, 43833
4,Lois McMaster Bujold,45, 3.83, 3054,Vorkosigan Saga,Falling Free ,37 people voted, 16020
3,Lois McMaster Bujold,46, 3.76, 2904,Vorkosigan Saga,Ethan of Athos ,36 people voted, 11399
3,Madeleine L'Engle,47, 4.11, 2831,Time Quintet,A Swiftly Tilting Planet ,32 people voted, 95092
1,Octavia E. Butler,48, 4.12, 2755,Xenogenesis,Dawn ,32 people voted, 22800
1,Lois McMaster Bujold,49, 4.30, 2579,Vorkosigan Saga,Komarr ,31 people voted, 12917
1,C.J. Cherryh,50, 3.94, 2547,Foreigner,Foreigner ,30 people voted, 7164
,Kate Wilhelm,51, 3.87, 2535,,Where Late the Sweet Birds Sang,30 people voted, 8287
1,Nancy Kress,52, 3.94, 2526,Sleepless,Beggars in Spain ,30 people voted, 6814
,James Tiptree Jr.,53, 4.21, 2524,,Her Smoke Rose Up Forever,29 people voted, 3310
1,Tanith Lee,54, 4.03, 2504,Silver Metal Lover,The Silver Metal Lover ,29 people voted, 3384
1,Lois McMaster Bujold,55, 4.37, 2498,Vorkosigan Omnibus,Cordelia's Honor ,31 people voted, 11643
,C.J. Cherryh,56, 3.92, 2469,Chanur #1),The Pride of Chanur ,31 people voted, 5915
,Emily St. John Mandel,57, 4.03, 2450,,Station Eleven,28 people voted, 254031
3,C.J. Cherryh,58,really liked it 4.00, 2316,Cyteen,Cyteen ,30 people voted, 9286
,Lois McMaster Bujold,59, 4.24, 2306,Vorkosigan Saga [Publication] #5.1-5.3),Borders of Infinity ,29 people voted, 8716
1,Sheri S. Tepper,60, 4.04, 2203,Arbai,Grass ,27 people voted, 9270
1,K.T. Hanna,61, 4.18, 2199,The Domino Project,Chameleon ,22 people voted, 191
,Sheri S. Tepper,62, 4.05, 2191,,The Gate to Women's Country,27 people voted, 11546
,Joanna Russ,63, 3.54, 2128,,The Female Man,26 people voted, 5354
1,Kage Baker,64, 3.77, 2038,The Company,In the Garden of Iden ,26 people voted, 4995
1,Ceri London,65, 4.44, 2013,Shimmer in the Dark,Rogue Genesis ,21 people voted, 133
2,Octavia E. Butler,66, 4.24, 2006,Earthseed,Parable of the Talents ,25 people voted, 17418
,C.J. Cherryh,67, 4.12, 1931,The Faded Sun #1-3),The Faded Sun Trilogy ,23 people voted, 4631
3,Lois McMaster Bujold,68, 4.18, 1914,Vorkosigan Saga,Diplomatic Immunity ,26 people voted, 12112
1,Naomi Novik,69, 4.06, 1849,Temeraire,His Majesty's Dragon ,22 people voted, 67125
,Elizabeth Moon,70,really liked it 4.00, 1819,,The Speed of Dark,24 people voted, 9441
,Marion Zimmer Bradley,71, 3.88, 1748,,Darkover Landfall,21 people voted, 5952
1,Hayley Stone,72, 3.80, 1698,Machinations,Machinations ,17 people voted, 249
2,G.S. Jennsen,73, 4.22, 1684,Aurora Rhapsody,Vertigo ,18 people voted, 1042
4,Lois McMaster Bujold,74, 4.06, 1683,Vorkosigan Saga,CryoBurn ,24 people voted, 11945
4,Octavia E. Butler,75, 4.33, 1659,Patternmaster,Seed to Harvest ,20 people voted, 3950
,Ursula K. Le Guin,76, 4.04, 1572,,The Wind's Twelve Quarters,19 people voted, 4042
,Elizabeth Moon,77, 4.06, 1547,,Remnant Population,20 people voted, 3628
,Ursula K. Le Guin,78, 3.95, 1510,,The Word for World is Forest,20 people voted, 12917
1,Ann Aguirre,79, 3.73, 1497,Sirantha Jax,Grimspace ,17 people voted, 12666
,Nicola Griffith,80, 3.86, 1477,,Ammonite,20 people voted, 3717
1,Beth Revis,81, 3.77, 1435,Across the Universe,Across the Universe ,16 people voted, 107437
3,C.J. Cherryh,82, 4.19, 1392,Foreigner,Inheritor ,18 people voted, 3611
,Mya Robarts,83, 4.02, 1380,,The V Girl,15 people voted, 7859
1,Lauren Oliver,84, 3.98, 1366,Delirium,Delirium ,15 people voted, 392374
,Vonda N. McIntyre,85, 3.86, 1324,,Dreamsnake,18 people voted, 8407
,Pamela Sargent,86,really liked it 4.00, 1297,,Women of Wonder: Science-Fiction Stories by Women about Women,16 people voted, 273
1,Martha Wells,87, 4.15, 1296,The Murderbot Diaries,All Systems Red ,14 people voted, 35220
1,Elizabeth Moon,88, 3.98, 1286,Vatta's War,Trading in Danger ,16 people voted, 11171
2,C.J. Cherryh,89, 4.17, 1276,Foreigner,Invader ,17 people voted, 4058
,Marge Piercy,89, 3.95, 1276,,Woman on the Edge of Time,15 people voted, 12605
,Maureen F. McHugh,91, 3.94, 1253,,China Mountain Zhang,18 people voted, 3453
1,S.L. Viehl,92, 3.80, 1230,Stardoc,Stardoc ,16 people voted, 3632
3,Margaret Atwood,93,really liked it 4.00, 1212,MaddAddam,MaddAddam ,13 people voted, 52229
1,Tanya Huff,94, 3.98, 1165,Confederation,Valor's Choice ,16 people voted, 6902
,Connie Willis,95, 3.93, 1142,,Bellwether,13 people voted, 10076
,C.S. Friedman,96, 4.04, 1130,,This Alien Shore,15 people voted, 3262
1,Catherine Asaro,97, 3.74, 1119,Saga of the Skolian Empire,Primary Inversion ,15 people voted, 3686
2,Marissa Meyer,98, 4.29, 1115,The Lunar Chronicles,Scarlet ,12 people voted, 265449
1,Nancy Kress,99, 3.61, 1107,Probability,Probability Moon ,15 people voted, 1292
1,Nancy Farmer,100, 4.10, 1083,Matteo Alacran,The House of the Scorpion ,12 people voted, 72402
